created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2026-01-19T23:07:46Z,1381,hub,1768863996,"Moist,+007.65,+006.40,+006.14,+004.86,+005.68,+004.27,+004.32,+006.01","Temp,+021.15,+021.10,+020.93,+020.96,+021.13,+021.23,+021.24,+021.24","Batt,5.06",,,
2026-01-19T23:08:40Z,1382,9f48: @w1r,1768864050,"Moist,+007.03,+011.00,+008.97,+003.94,+002.63,+003.02,+003.72,+004.96","Temp,+018.80,+019.62,+020.40,+020.71,+020.25,+020.39,+020.65,+020.97","Batt,4.09",,,
2026-01-20T00:07:52Z,1383,hub,1768867602,"Moist,+007.64,+006.40,+006.30,+004.88,+005.69,+004.29,+004.34,+006.04","Temp,+015.80,+015.79,+015.80,+015.98,+016.01,+016.02,+015.98,+016.05","Batt,5.06",,,
2026-01-20T00:08:47Z,1384,9f48: @w1r,1768867657,"Moist,+006.82,+010.82,+009.06,+004.04,+002.60,+002.99,+003.78,+004.96","Temp,+015.96,+016.02,+016.02,+016.15,+015.67,+015.77,+015.78,+015.90","Batt,4.07",,,
2026-01-20T01:07:58Z,1385,hub,1768871208,"Moist,+007.60,+006.44,+006.33,+004.89,+005.71,+004.45,+004.37,+006.02","Temp,+014.01,+013.90,+013.96,+014.10,+014.15,+014.14,+014.15,+014.27","Batt,5.06",,,
2026-01-20T01:08:54Z,1386,9f48: @w1r,1768871263,"Moist,+006.82,+010.94,+009.09,+004.05,+002.60,+002.98,+003.75,+005.00","Temp,+014.47,+014.48,+014.35,+014.38,+013.99,+014.00,+013.99,+014.12","Batt,4.06",,,
2026-01-20T02:08:05Z,1387,hub,1768874814,"Moist,+007.52,+006.33,+006.28,+004.84,+005.71,+004.37,+004.33,+006.01","Temp,+012.84,+012.71,+012.73,+012.91,+012.97,+012.96,+012.97,+013.08","Batt,5.06",,,
2026-01-20T02:08:59Z,1388,9f48: @w1r,1768874868,"Moist,+006.78,+010.82,+009.05,+004.05,+002.56,+002.99,+003.72,+004.94","Temp,+013.36,+013.30,+013.19,+013.19,+012.81,+012.81,+012.82,+012.93","Batt,4.08",,,
2026-01-20T03:08:11Z,1389,hub,1768878420,"Moist,+007.58,+006.36,+006.29,+004.86,+005.67,+004.32,+004.34,+005.97","Temp,+012.25,+012.12,+012.13,+012.32,+012.29,+012.26,+012.33,+012.48","Batt,5.06",,,
2026-01-20T03:09:06Z,1390,9f48: @w1r,1768878474,"Moist,+006.84,+010.81,+009.09,+004.09,+002.57,+002.95,+004.43,+005.29","Temp,+012.89,+012.82,+012.60,+012.64,+012.22,+012.22,+012.22,+012.34","Batt,4.03",,,
